"Year","LEA","LEA Name","PublicSeniorInstitutions","PrivateSeniorInstitutions","CommunityTechnicalCollege","PrivateJuniorInstitutions","TradeBusinessNursing","Other","Total"
"2022","460","Hertford County Schools","        73","        19","        32","*","         6","        44","       175"
"2022","470","Hoke County Schools","       136","        16","       112","-","         6","       217","       487"
"2022","480","Hyde County Schools","         5","*","        11","-","-","         5","        22"
"2022","490","Iredell-Statesville Schools","       540","       133","       446","*","-","       377","     1,497"
"2022","491","Mooresville Graded School District","       146","        42","        56","-","         8","       221","       473"
"2022","49E","Pine Lake Preparatory","       112","        21","        20","-","*","         5","       161"
"2022","49F","Langtree Charter Academy","        41","        11","        27","*","-","         8","        88"
"2022","500","Jackson County Public Schools","        83","         6","        89","-","*","        70","       249"
"2022","50A","Summit Charter","         8","*","*","-","-","*","        15"
"2022","510","Johnston County Public Schools","       685","       143","     1,077","         9","        18","       727","     2,659"
"2022","51A","Neuse Charter School","        28","*","        22","-","*","         6","        60"
"2022","520","Jones County Schools","         8","         6","        26","-","-","        18","        58"
"2022","530","Lee County Schools","        90","        24","       171","         6","        42","       289","       622"
"2022","540","Lenoir County Public Schools","       125","        20","       273","*","-","        87","       506"
"2022","550","Lincoln County Schools","       232","        75","       312","*","        39","       159","       819"
"2022","55A","Lincoln Charter School","        80","        13","        35","*","         6","         8","       143"
"2022","560","Macon County Schools","        85","        16","       101","*","        10","        90","       303"
"2022","570","Madison County Schools","        43","         7","        64","-","*","        75","       191"
"2022","580","Martin County Schools","        33","         7","        93","-","*","        44","       178"
"2022","58B","Bear Grass Charter School","        11","*","        30","-","-","         9","        54"
"2022","590","McDowell County Schools","        68","        14","        93","-","*","       147","       323"
"2022","600","Charlotte-Mecklenburg Schools","     3,693","       711","     2,456","        18","       131","     2,260","     9,269"
"2022","60B","Sugar Creek Charter","        29","         5","        11","-","*","        13","        61"
"2022","60D","Lake Norman Charter","       133","        22","        23","-","*","*","       182"
"2022","60G","Queen's Grant Community School","        40","*","        27","-","*","        22","        97"
"2022","60I","Community School of Davidson","        83","        26","        10","-","-","        10","       129"
"2022","60K","Charlotte Secondary School","        10","*","        21","-","-","*","        34"
"2022","60M","Corvian Community School","        38","        10","        24","-","*","         8","        81"
"2022","60S","Bradford Preparatory School","        43","         6","        37","-","*","         5","        95"
"2022","60U","Commonwealth High School","-","-","        53","-","-","-","        53"
"2022","610","Mitchell County Schools","        31","        10","        50","-","-","        41","       132"
"2022","61L","Stewart Creek High School","-","-","        49","-","-","-","        49"
"2022","61U","UpROAR Leadership Academy","-","-","*","-","-","-","*"
"2022","61X","Jackson Day School","-","-","-","-","-","        31","        31"
"2022","620","Montgomery County Schools","        48","         6","        78","-","-","        95","       227"
"2022","630","Moore County Schools","       294","        76","       437","-","         8","       165","       980"
"2022","63B","Sandhills Theatre Arts Renaiss","*","-","         7","-","*","         5","        15"
"2022","640","Nash County Public Schools","       210","        94","       350","        11","        14","       238","       917"
"2022","64A","Rocky Mount Preparatory","        23","*","        17","-","-","        12","        55"
"2022","650","New Hanover County Schools","       699","       136","       700","*","         7","       316","     1,861"
"2022","660","Northampton County Schools","        29","*","        19","-","*","        55","       109"
"2022","66A","KIPP Gaston College Preparatory","        59","        10","        12","-","*","*","        84"
"2022","670","Onslow County Schools","       412","        85","       552","*","         5","       518","     1,576"
"2022","680","Orange County Schools","       155","        49","       178","-","         5","       120","       507"
"2022","681","Chapel Hill-Carrboro City Schools","       479","       184","       137","         8","         7","       127","       942"
"2022","68A","Eno River Academy","        42","        13","        29","-","*","*","        88"
